ID,Title,Year,Budget,Gross Income
240,C'est arriv̩ pr̬s de chez vous,1992,1000000,205569
241,Candyman,1992,6000000,25792310
242,Captain Ron,1992,24000000,22518097
243,Chaplin,1992,31000000,9493259
244,Child's Play 3,1991,13000000,20560255
245,Christopher Columbus: The Discovery,1992,40000000,8251071
246,City of Joy,1992,27000000,14683921
247,Class Act,1992,7500000,13272113
248,Como agua para chocolate,1992,2000000,21744201
249,Consenting Adults,1992,18000000,21591728
250,Cool World,1992,30000000,14110589
251,Cronos,1993,2000000,621392
252,The Crying Game,1992,2300000,62548947
253,Death Becomes Her,1992,55000000,149022650
254,Diggstown,1992,17000000,4836637
255,The Distinguished Gentleman,1992,50000000,46666502
256,Encino Man,1992,7000000,40693477
257,Equinox,1992,6750000,279627
258,Excessive Force,1993,3000000,1152117
259,Falling from Grace,1992,3000000,231826
260,Far and Away,1992,60000000,137783840
261,FernGully: The Last Rainforest,1992,24000000,32710894
262,A Few Good Men,1992,41000000,243240178
263,Final Analysis,1992,32000000,28590665
264,Folks!,1992,15000000,6132924
265,Freejack,1992,30000000,17129026
266,Gladiator,1992,20000000,9223441
267,Glengarry Glen Ross,1992,12500000,10725228
268,The Gun in Betty Lou's Handbag,1992,13000000,3721911
269,Guncrazy,1992,800000,114516
270,The Hand That Rocks the Cradle,1992,11700000,88036683
271,Hellraiser III: Hell on Earth,1992,5000000,12534961
272,Hero,1992,42000000,19507345
273,Highway to Hell,1991,9000000,26055
274,Hoffa,1992,35000000,29302121
275,Home Alone 2: Lost in New York,1992,18000000,365070556
276,"Honey, I Blew Up the Kid",1992,40000000,58662452
277,Honeymoon in Vegas,1992,25000000,35208854
278,Husbands and Wives,1992,20000000,10555619
279,Innocent Blood,1992,20000000,4943279
280,Jennifer Eight,1992,20000000,11390479
281,Ging chaat goo si III: Chiu kup ging chaat,1992,900000,16270600
282,Johnny Suede,1991,500000,90091
283,Juice,1992,5000000,20146880
284,The Last of the Mohicans,1992,40000000,75505856
285,The Lawnmower Man,1992,10000000,32100816
286,A League of Their Own,1992,40000000,132440069
287,Lethal Weapon 3,1992,35000000,321731527
288,The Living End,1992,22769,692585
289,Lorenzo's Oil,1992,30000000,7286388
290,Love Field,1992,18000000,1014726
291,Bitter Moon,1992,5000000,1862805
292,Malcolm X,1992,33000000,48169910
293,The Mambo Kings,1992,15500000,6742168
294,Man Trouble,1992,30000000,4096030
295,El mariachi,1992,7000,2040920
296,Medicine Man,1992,40000000,45500797
297,Memoirs of an Invisible Man,1992,40000000,14358033
298,The Mighty Ducks,1992,10000000,50752337
299,Mo' Money,1992,15000000,40227006
300,Mom and Dad Save the World,1992,14000000,2034470
301,Mr. Baseball,1992,40000000,20883046
302,Mr. Saturday Night,1992,43000000,13351357
303,The Muppet Christmas Carol,1992,12000000,32090708
