title,gross_income,budget,year
Bound,7011317.0,4500000,1996
The Relic,33956608.0,60000000,1997
The Island of Dr. Moreau,49627779.0,40000000,1996
Bulletproof,22611954.0,25000000,1996
Halloween: The Curse of Michael Myers,15116634.0,5000000,1995
Maximum Risk,51702483.0,25000000,1996
Michael Collins,16900000.0,28000000,1996
Last Man Standing,47267001.0,67000000,1996
Set It Off,41590886.0,9000000,1996
Curdled,49620.0,2300000,1996
Extreme Measures,17380126.0,38000000,1996
The Chamber,22540359.0,50000000,1996
Cool Runnings,154864401.0,14000000,1993
Robin Hood: Prince of Thieves,390493908.0,48000000,1991
The Lawnmower Man,32101000.0,10000000,1992
Secrets & Lies,13417292.0,4500000,1996
Surviving Picasso,1985001.0,16000000,1996
The Long Kiss Goodnight,89456761.0,65000000,1996
The Ghost and the Darkness,75000000.0,50000000,1996
Get on the Bus,5731103.0,2400000,1996
Shadow Conspiracy,2154540.0,45000000,1997
Jude,405000.0,7000000,1996
Romeo + Juliet,147298761.0,14500000,1996
Swingers,4505922.0,200000,1996
Sleepers,165615285.0,44000000,1996
Reservoir Dogs,14661007.0,1200000,1992
Basic Instinct,352927224.0,49000000,1992
The Doors,34416893.0,38000000,1991
The Crying Game,62548947.0,3705538,1992
Glengarry Glen Ross,10725228.0,12500000,1992
Days of Thunder,157920733.0,60000000,1990
The Funeral,1227324.0,12500000,1996
The People vs. Larry Flynt,20300385.0,36000000,1996
Drop Dead Fred,13878334.0,6788000,1991
Bad Moon,1100000.0,7000000,1996
Delicatessen,1794187.0,4000000,1991
The English Patient,231976425.0,27000000,1996
Strictly Ballroom,33946224.0,3000000,1992
Paris is Burning,3779620.0,500000,1990
GoodFellas,46836394.0,25000000,1990
Braindead,242623.0,3000000,1992
Miller's Crossing,5080409.0,14000000,1990
Groundhog Day,70906973.0,14600000,1993
Unforgiven,159157447.0,14000000,1992
Fried Green Tomatoes,119418501.0,11000000,1991
Night on Earth,2015810.0,3500000,1991
AlienÂ³,159773545.0,50000000,1992
Dracula,215862692.0,40000000,1992
Candyman,25792310.0,6000000,1992
Cape Fear,182300000.0,35000000,1991
Star Trek: First Contact,150000000.0,46000000,1996
Sling Blade,24444121.0,1000000,1996
Jingle All the Way,129832389.0,60000000,1996
The Preacher's Wife,48093211.0,40000000,1996
Ridicule,2503829.0,3000000,1996
101 Dalmatians,320689294.0,54000000,1996
Die Hard 2,240031094.0,70000000,1990
Star Trek VI: The Undiscovered Country,96900000.0,27000000,1991
Batman Returns,280000000.0,80000000,1992
Marked for Death,46044400.0,12000000,1990
Under Siege,156563139.0,35000000,1992
Mars Attacks!,101371017.0,70000000,1996
Citizen Ruth,153155.0,3000000,1996
Jerry Maguire,273552592.0,50000000,1996
Marvin's Room,12803305.0,23000000,1996
Scream,173046663.0,14000000,1996
The Last of the Mohicans,75505856.0,40000000,1992
Evita,141047179.0,55000000,1996
Turbulence,11466088.0,55000000,1997
Metro,31987563.0,55000000,1997
Dante's Peak,178127760.0,116000000,1997
Prefontaine,589304.0,8000000,1997
Absolute Power,50068310.0,50000000,1997
Vegas Vacation,36400360.0,25000000,1997
Lost Highway,3675201.0,15000000,1997
Rosewood,13130349.0,30000000,1997
Donnie Brasco,41954997.0,35000000,1997
Kama Sutra - A Tale of Love,4109095.0,3000000,1996
Private Parts,41230799.0,28000000,1997
The Saint,118063304.0,68000000,1997
Liar Liar,302710615.0,45000000,1997
Selena,60000000.0,20000000,1997
The Devil's Own,140807547.0,90000000,1997
Cats Don't Dance,3566637.0,32000000,1997
Turbo: A Power Rangers Movie,17979739.0,10000000,1997
Anna Karenina,791830.0,35000000,1997
Anaconda,136885767.0,45000000,1997
Austin Powers: International Man of Mystery,67683989.0,16500000,1997
Breakdown,50159144.0,36000000,1997
The Fifth Element,263920180.0,90000000,1997
Love! Valour! Compassion!,2900000.0,2000000,1997
The Lost World: Jurassic Park,229074524.0,73000000,1997
Con Air,224012234.0,75000000,1997
Speed 2: Cruise Control,164508066.0,160000000,1997
Squeeze,10300.0,500000,1997
Batman & Robin,238207122.0,125000000,1997
Hercules,252712101.0,85000000,1997
My Best Friend's Wedding,299288605.0,38000000,1997
Face/Off,245676146.0,80000000,1997
Men in Black,589390539.0,90000000,1997
A Simple Wish,8345056.0,28000000,1997
Contact,171120329.0,90000000,1997
G.I. Jane,48169156.0,50000000,1997
Cop Land,44862187.0,15000000,1997
Event Horizon,26673242.0,60000000,1997
Spawn,87840042.0,40000000,1997
Air Bud,23144499.0,3000000,1997
Picture Perfect,44332015.0,19000000,1997
Conspiracy Theory,136982834.0,75000000,1997
Steel,1686429.0,16000000,1997
Mimic,25480490.0,30000000,1997
Air Force One,315156409.0,85000000,1997
One Eight Seven,5716080.0,20000000,1997
The Hunt for Red October,199200000.0,30000000,1990
L.A. Confidential,126216940.0,35000000,1997
Seven Years in Tibet,131457682.0,70000000,1997
Kiss the Girls,60527873.0,27000000,1997
Wishmaster,15719109.0,5000000,1997
The Game,109423648.0,50000000,1997
Fire Down Below,16000000.0,60000000,1997
U Turn,6682098.0,19000000,1997
The Ice Storm,8038061.0,18000000,1997
Chasing Amy,12021272.0,250000,1997
The Full Monty,257850122.0,3500000,1997
I Know What You Did Last Summer,125586134.0,17000000,1997
The Devil's Advocate,152944660.0,57000000,1997
Playing God,4000000.0,12000000,1997
The House of Yes,626057.0,1500000,1997
Gattaca,12532777.0,36000000,1997
Switchback,6482195.0,37000000,1997
Bean,251212670.0,18000000,1997
Mad City,10541523.0,50000000,1997
One Night Stand,2642983.0,24000000,1997
The Rainmaker,45916769.0,40000000,1997
Boogie Nights,43101594.0,15000000,1997
Starship Troopers,121214377.0,105000000,1997
The Joy Luck Club,32861136.0,11000000,1993
Sliding Doors,58000000.0,6000000,1998
Mortal Kombat: Annihilation,51376861.0,30000000,1997
The Truman Show,264118201.0,60000000,1998
The Jackal,159330280.0,60000000,1997
Anastasia,139804348.0,53000000,1997
The Man Who Knew Too Little,13801755.0,20000000,1997
Alien: Resurrection,162000000.0,70000000,1997
Amistad,74000000.0,36000000,1997
Deconstructing Harry,10686841.0,20000000,1997
Flubber,177977226.0,80000000,1997
For Richer or Poorer,31611225.0,35000000,1997
Good Will Hunting,225933435.0,10000000,1997
Home Alone 3,79082515.0,32000000,1997
Midnight in the Garden of Good and Evil,25105255.0,35000000,1997
MouseHunt,122417389.0,38000000,1997
Scream 2,172363301.0,24000000,1997
The Sweet Hereafter,3263585.0,5000000,1997
Titanic,1845034188.0,200000000,1997
Tomorrow Never Dies,333011068.0,110000000,1997
The Postman,17626234.0,80000000,1997
The Horse Whisperer,186883563.0,60000000,1998
Jackie Brown,39673162.0,12000000,1997
Kundun,5684789.0,28000000,1997
The Big Lebowski,46189568.0,15000000,1998
Great Expectations,55494066.0,25000000,1998
Wag the Dog,64256513.0,15000000,1997
Dark City,27200316.0,27000000,1998
Hard Rain,19870567.0,70000000,1998
Half Baked,17460020.0,8000000,1998
Shooting Fish,302204.0,3000000,1997
Spice World,100000000.0,25000000,1997
Deep Rising,11203026.0,45000000,1998
The Replacement Killers,19204929.0,30000000,1998
The Night Flier,91549.0,1000000,1997
Blues Brothers 2000,14051384.0,28000000,1998
The Wedding Singer,123306987.0,18000000,1998
Sphere,13100000.0,75000000,1998
As Good as It Gets,314178011.0,50000000,1997
King of New York,2554476.0,1000000,1990
U.S. Marshals,102367405.0,60000000,1998
The Newton Boys,76000000.0,27000000,1998
Wild Things,67200000.0,20000000,1998
Two Girls and a Guy,2057193.0,1000000,1997
The Object of My Affection,46905889.0,15000000,1998
Meet the Deedles,4562146.0,24000000,1998
Lost in Space,136159423.0,80000000,1998
The Spanish Prisoner,13835130.0,10000000,1997
City of Angels,198685114.0,55000000,1998
He Got Game,21567853.0,25000000,1998
Zero Effect,1980338.0,5000000,1998
"An Alan Smithee Film: Burn, Hollywood, Burn",45779.0,10000000,1998
Mr. Nice Guy,18814720.0,12716953,1997
Species II,19165560.0,35000000,1998
The Big Hit,27007143.0,13000000,1998
Deep Impact,140464664.0,75000000,1998
Woo,8026971.0,13000000,1998
Quest for Camelot,38172500.0,40000000,1998
Godzilla,379014294.0,130000000,1998
Bulworth,29202884.0,30000000,1998
Fear and Loathing in Las Vegas,10680275.0,18500000,1998
The Opposite of Sex,5879254.0,5000000,1998
A Perfect Murder,128038368.0,60000000,1998
Six Days Seven Nights,164000000.0,70000000,1998
Can't Hardly Wait,25605015.0,10000000,1998
Children of Heaven,900000.0,180000,1997
Mulan,304320254.0,90000000,1998
The X Files,189198313.0,66000000,1998
Doctor Dolittle,294456605.0,71000000,1998
Out of Sight,77745568.0,48000000,1998
Buffalo '66,2375097.0,1500000,1998
Armageddon,553799566.0,140000000,1998
Lethal Weapon 4,285444603.0,140000000,1998
Small Soldiers,54682547.0,40000000,1998
Pi,3221152.0,60000,1998
There's Something About Mary,369884651.0,23000000,1998
Freddy's Dead: The Final Nightmare,34872033.0,11000000,1991
Child's Play 2,35763605.0,13000000,1990
Child's Play 3,20560255.0,13000000,1991
Lethal Weapon 3,321731527.0,35000000,1992
Gremlins 2: The New Batch,41482207.0,50000000,1990
The Mask of Zorro,250288523.0,95000000,1998
Back to the Future Part III,244527583.0,40000000,1990
The Godfather: Part III,136766062.0,54000000,1990
The Rapture,1277401.0,1227401,1991
Lolita,1060056.0,62000000,1997
Disturbing Behavior,17507368.0,15000000,1998
Jane Austen's Mafia!,19000000.0,10000000,1998
Saving Private Ryan,481840909.0,70000000,1998
Hocus Pocus,39514713.0,28000000,1993
Honey I Blew Up the Kid,58662452.0,40000000,1992
The Negotiator,44547681.0,50000000,1998
The Mighty Ducks,50752337.0,10000000,1992
The Rescuers Down Under,47431461.0,37931000,1990
The Rocketeer,62000000.0,42000000,1991
Halloween: H20,55041738.0,17000000,1998
Graveyard Shift,11582891.0,10500000,1990
The Addams Family,191502426.0,30000000,1991
Ever After: A Cinderella Story,65705772.0,26000000,1998
Snake Eyes,103891409.0,73000000,1998
"First Love, Last Rites",40542.0,300000,1998
The Avengers,48585416.0,60000000,1998
How Stella Got Her Groove Back,37672350.0,20000000,1998
The Neverending Story II: The Next Chapter,16283667.0,32000000,1990
Your Friends & Neighbors,4710749.0,5000000,1998
Blade,131183530.0,45000000,1998
54,16757163.0,13000000,1998
Rounders,22921898.0,12000000,1998
Cube,501818.0,250000,1997
Simon Birch,18253415.0,20000000,1998
Without Limits,777423.0,25000000,1998
Nothing but Trouble,8479793.0,40000000,1991
A Few Good Men,243240178.0,40000000,1992
Indecent Proposal,266614059.0,38000000,1993
Rush Hour,244386864.0,33000000,1998
Six-String Samurai,124494.0,2000000,1998
Ronin,41610884.0,55000000,1998
Urban Legend,72527595.0,14000000,1998
The Sheltering Sky,2075084.0,25000000,1990
The Player,21706101.0,8000000,1992
Edward Scissorhands,53000000.0,20000000,1990
Antz,171757863.0,60000000,1998
A Night at the Roxbury,30331165.0,17000000,1998
What Dreams May Come,71485043.0,85000000,1998
Strangeland,631221.0,1100000,1998
My Cousin Vinny,64088552.0,11000000,1992
Bride of Chucky,50671850.0,25000000,1998
Practical Magic,46683377.0,75000000,1998
Happiness,2807390.0,3000000,1998
Soldier,14567883.0,75000000,1998
Life Is Beautiful,229400000.0,20000000,1997
Tales from the Darkside: The Movie,16324573.0,3500000,1990
American History X,23875127.0,20000000,1998
Living Out Loud,12902790.0,12000000,1998
Gods and Monsters,6451628.0,10000000,1998
The Siege,116672912.0,70000000,1998
The Waterboy,185991646.0,23000000,1998
Elizabeth,82150642.0,30000000,1998
I Still Know What You Did Last Summer,40002112.0,65000000,1998
Meet Joe Black,142940100.0,90000000,1998
Enemy of the State,250649836.0,90000000,1998
The Rugrats Movie,100491683.0,30000000,1998
A Bug's Life,363258859.0,120000000,1998
Central Station,5596708.0,2900000,1998
Babe: Pig in the City,69131860.0,90000000,1998
Home Fries,10443316.0,15000000,1998
Ringmaster,9247881.0,3500000,1998
